ticker,yfinance_symbol,source,updated_at
CPFE3,CPFE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CPLE3,CPLE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CRPG3,CRPG3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CRPG5,CRPG5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CRPG6,CRPG6.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CSAN3,CSAN3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CSED3,CSED3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CSMG3,CSMG3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CSNA3,CSNA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CSUD3,CSUD3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CTAX3,CTAX3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CTKA3,CTKA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CTKA4,CTKA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CTSA3,CTSA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CTSA4,CTSA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CURY3,CURY3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CVCB3,CVCB3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CXSE3,CXSE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CYRE3,CYRE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
CYRE4,CYRE4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DASA3,DASA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DESK3,DESK3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DEXP3,DEXP3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DEXP4,DEXP4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DIRR3,DIRR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DMVF3,DMVF3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DOHL4,DOHL4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DOTZ3,DOTZ3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
DXCO3,DXCO3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EALT3,EALT3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EALT4,EALT4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ECOR3,ECOR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EGIE3,EGIE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EKTR4,EKTR4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EMAE4,EMAE4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EMBJ3,EMBJ3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENEV3,ENEV3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENGI11,ENGI11.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENGI3,ENGI3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENGI4,ENGI4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENJU3,ENJU3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENMT3,ENMT3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ENMT4,ENMT4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EPAR3,EPAR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EQMA3B,EQMA3B.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EQPA3,EQPA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EQPA5,EQPA5.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EQTL3,EQTL3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ESPA3,ESPA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ESTR4,ESTR4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
ETER3,ETER3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
